"P-01012019-186","4","Sebago Easy wear -Brown","Easy wear, durable solid leather shoe","0","140","0","0","2812201800010","0","21","sebago, shoe, laced shoe, footwear","Easy wear durable casual wear in brown, black and blueblack for all outings","2","0","3"
"P-01012019-187","6","Low Lip Trainer - blue and red","Extra Comfort soles, Quality leather","0","180","0","0","2812201800010","0","21","Sneaker, Blue, Red, Suede, Leather","Comfortable Low lip Trainer Sneaker","2","0","3"
"P-01012019-188","65","NASCO DRYER (MDS60-VO12)","Washing Capacity: 6kg  |Display Type: LED| Color: White| Power Supply: AC100-240V ","0","955","1265","65","2912201800011","0","205","Dryer, Washing","The Nasco Dryer is the best product suitable for all your laundry drying","2","30","0"
"P-01012019-189","65","NASCO FRONT LOAD COMBO WASHING MACHINE (MFL80-D1222)","Washing Capacity: 8kg|Dryer Capacity: 5kg|Display Type: LED| Color: White |Weight: 79kg| Power : 1800W","0","2980","3690","200","2912201800011","0","213","Dryer, Washing Machine","A Combo (washer and dryer) Machine suitable for all your laundry neededs","2","40","0"
"P-01012019-190","53","Samsung Galaxy  TAB S3 9.7 (T825)","Display: 9.7"" Super AMOLED capacitive,touchscreen,1536 x 2048 pixels| Memory: 32 GB HDD, 4 GB RAM| Camera: 13 MP Rear, 5 MP Front| OS: Android 7.0 (Nougat)| Processor: Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)|
Connectivity: Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot, Bluetooth","0","2700","2799","19","2912201800011","0","77","phones, Samsung, phone, tablets","The Galaxy Tab S3â€™s quad-speaker system follows the direction mode of the screen, ensuring you hear every note whether you hold it horizontally or vertically.","2","0","3"
"P-01012019-191","53","Samsung Galaxy TAB A 10.1 WITH PEN (P555)","Screen Size: 9.7| Camera 5MP/2MP| , Memory: 16GB ROM/2GB RAM| 6000 MA","0","1535","1799","10","2912201800011","0","156","tablets, Tab, Galaxy tab, samsung","The S Pen allows you to express yourself in many ways. Write, draw and edit with precision. Or select brush and colour options to draw on photos or create animated GIFs. Plus, you can jot down a quick note without unlocking your screen and even translate unfamiliar words while travelling.","2","10","0"
"P-01012019-192","53","Samsung Galaxy TAB A 10.5","Display :10.5-inch (1920Ã—1200 pixels) IPS LCD| Dimension: 260mm x 161.1mm x 8 mm| CPU: Qualcomm Snapdragon 450| RAM :3GB| Storage: 32GB (expandable to 512GB via SD card)| Primary (rear) camera: 8MP| Secondary (front-facing) camera: 5MP| Battery :7300mAh non-removable Lithium Polymer| Connectivity: Wi-Fi a/b/g/n/ac; Bluetooth","0","1902","2199","50","2912201800011","0","166",,"The Samsung Galaxy Tab A 10.5 houses a single camera and LED flash on the rear, a single shooter above the display, Nano SIM card and SD card slot on the right, keyboard dock on the left, USB-C port at the bottom, 3.5mm headphone jack and a pair of speakers at the top and bottom.","2","10","0"
"P-01012019-193","53","Samsung Galaxy TAB A 2016 LTE","Display Size: 10 inches| Internal Memory: 16 GB| Internal RAM: 2 GB RAM| Rear Camera Resolution:	8.0 MP| Front Camera Resolution: 2.0 MP","0","1411","1629","10","2912201800011","0","151","tablets, Tab, Galaxy tab, samsung","The curved edges of the Tab A 7â€ LTE gives it a soft, modern look. Fused with a nonslip backing, this sophisticated frame is comfortable to grip and practical for everyday use.","2","10","0"
"P-01012019-194","53","Samsung Galaxy TAB A  LTE","Display Size: 7 inches| Internal Memory: 8 GB| Internal RAM: 1.5 GB RAM| Rear Camera Resolution :5.0 MP| Front Camera Resolution:	2.0 MP| Bluetooth: 4.0, A2DP, EDR, LE, aptX","0","657","759","0","2912201800011","0","139","tablets, Tab, Galaxy tab, samsung","The curved edges of the Tab A 7â€ LTE gives it a soft, modern look. Fused with a nonslip backing, this sophisticated frame is comfortable to grip and practical for everyday use.","2","10","0"
"P-01012019-195","53","Samsung Galaxy TAB E 9.6 (T561)","Display Size: 9.6 inches| Internal Memory: 16 GB| Internal RAM: 1.5 GB RAM| Rear Camera Resolution: 8.0 MP| Front Camera Resolution: 2.0 MP| Bluetooth: 4.0, A2DP, EDR, LE, aptX| Battery: 	5000 mAh","0","775","800","0","2912201800011","0","171","tablets, Tab, Galaxy tab, samsung","Make shareable moments better with the Galaxy Tab Eâ€™s advanced camera features. Capture more in every photo with Panorama and Continuous Shot modes. Or video chat for anywhere. And you can quickly toggle between camera and video modes. With the Galaxy Tab E, you wonâ€™t miss a thing.","2","10","0"
"P-01012019-196","52","Samsung Galaxy  NOTE 8 (N950)","SIM: Single SIM (Nano-SIM)| Display Resolution: 1440 x 2960| Display Size: 6.3 inches| Internal Memory:	64 GB| Internal RAM: 6 GB RAM| Rear Camera Resolution	12.0 MP| Front Camera Resolution: 8.0 MP","0","3850","3950","10","2912201800011","0","74","Phones, Samsung","The dual wide-angle camera of the Galaxy Note 8 ensures you still get clear, crisp photos even when itâ€™s dark or difficult to keep your phone steady","2","0","3"
"P-01012019-197","52","Samsung Galaxy  S9+  128GB (G965) ","Build: Front/back glass, aluminum frame| SIM: 	Single SIM (Nano-SIM)| Display Resolution: 1440 x 2960| Display Size: 6.2 inches| Card Slot: up to 512 GB| Internal RAM: 6 GB RAM| Camera: Rear Camera Resolution	12.0 MP, Front Camera| Resolution: 8.0 MP","0","3741","4099","99","2912201800011","0","284","Phones, Samsung, Galaxy","Surround sound stereo speakers: listen to music or podcasts with the clarity of pure stereo sounds tuned by AKG. The sound system is backed by Dolby Atmos which delivers rich and vibrant sound, giving you a theater-like audio experience.","2","10","0"
"P-01012019-198","52","Samsung Galaxy  S9+  64GB (G965) ","SIM: Single SIM (Nano-SIM)| Display Size: 6.2 inches| Internal RAM: 6 GB RAM| Rear Camera Resolution:	12.0 MP| Front Camera: 8.0 MP","0","3500","3597","80","2912201800011","0","204","Phones, Samsung","Surround sound stereo speakers: listen to music or podcasts with the clarity of pure stereo sounds tuned by AKG. The sound system is backed by Dolby Atmos which delivers rich and vibrant sound, giving you a theater-like audio experience.","2","10","0"
"P-01012019-199","52","Samsung GALAXY Note S9 (N960)","Single SIM (Nano-SIM)| Display Resolution: 1440 x 2960| Display Size: 5.8 inches| Card Slot: up to 512 GB| Internal Memory: 64 GB| Internal RAM: 4 GB RAM| Rear Camera Resolution: 12.0 MP| Front Camera Resolution: 8.0 MP| Battery: 3000 mAh","0","3100","3199","10","2912201800011","0","200","phones, Samsung, G960","Surround sound stereo speakers: listen to music or podcasts with the clarity of pure stereo sounds tuned by AKG. The sound system is backed by Dolby Atmos which delivers rich and vibrant sound, giving you a theater-like audio experience","2","10","0"
"P-01012019-200","52","Samsung Galaxy S8+ (G955)","SIM	Single SIM (Nano-SIM)| Display Resolution: 1440 x 2960| Display Size: 6.2 inches| Card Slot: up to 512 GB| Internal Memory: 64 GB| Internal RAM	: 4 GB RAM| Rear Camera Resolution: 12.0 MP| Front Camera Resolution: 8.0 MP","0","3250","3299","9","2912201800011","0","64","Phones, Samsung","The Galaxy S8+ comes with iris scanning technology to secure your phone against prying eyes. And when you need to quickly unlock the screen, face recognition is a handy option","2","0","3"
"P-01012019-201","52","Samsung Galaxy S8 (G950)","Single: SIM (Nano-SIM)| Display Resolution:1440 x 2960| Display Size: 5.8 inches| Display Protection	:Corning Gorilla Glass 5| Card Slot	up to 512 GB|
Internal Memory: 64 GB| Internal RAM: 4 GB RAM 
|Rear Camera Resolution: 12.0 MP| Front Camera: 8.0 MP| Battery: 3000 mAh","0","2850","2899","6","2912201800011","0","56","Phones, Samsung","The Galaxy S8â€™s expansive display stretches from edge to edge, empowering you to get the most out of your screen.","2","0","3"
"P-01012019-202","52","Samsung  GALAXY A8+ (A730)","SIM: Single SIM (Nano-SIM)| Display Technology: 	Super AMOLED| Display Resolution: 1440 x 2960|
Display Size: 6.0 inches| Card Slot: up to 256 GB|
Internal Memory: 32 GB| Internal RAM: 4 GB RAM| Rear Camera Resolution: 16.0 MP| Front Camera Resolution: 16.0 MP| Bluetooth: 5.0, A2DP, EDR, LE| FM Radio: Yes","0","1935","2050","40","2912201800011","0","62","Phones, Samsung","Taking stunning photos on the Galaxy A8+ is as easy as tapping the shutter. The Dual Front Camera innovates selfies, putting the focus on you and your friends so you can capture moments in a new way. And with its rear 16MP camera, the surrounding scene comes out bright and clear too.","2","0","3"
"P-01012019-203","52","Samsung GALAXY A7 (GA750)","SIM: Dual SIM (Nano-SIM, dual stand-by)| Display Resolution: 2220 x 1080| Display Size: 6.0 inches| card Slot: up to 512 GB| Internal Memory: 64 GB|
Internal RAM: 4 GB RAM| Rear Camera Resolution:	24 + 5 MP| Front Camera Resolution: 8 MP","0","1250","1299","0","2912201800011","0","249","Phones, Samsung","A camera that thinks one click ahead. Samsung Galaxy A7 features an intelligent camera system that automatically adjusts saturation, white balance and brightness levels. Whatâ€ s more, it has 19 customization modes to keep your final images as natural-looking as possible","2","10","0"
"P-01012019-204","52","Samsung GALAXY A6+ (A605 ) ","SIM: Dual SIM (Nano-SIM, dual stand-by)| Display Size	:6.0 inches| Internal Memory: 32 GB| Internal RAM: 4 GB RAM| Rear Camera Resolution: 16.0 MP| Front Camera Resolution: 24 MP| FM Radio:	Yes| USB: 2.0","0","1150","1199","0","2912201800011","0","201","Phones, Samsung","Infinity Display with 18.5:9 ratio that holds your attention. Galaxy A6+ is designed with an expansive, near bezel-less sAMOLED display that features vivid resolution and stunning contrast ratio. Now you can enjoy an immersive and uninterrupted experience","2","10","0"
"P-01012019-205","16","Casual Low Top Leather Sneakers - Brown","Easy wear | Quality Leather | Casual Shoe","0","185","200","0","2812201800010","0","80","Sneaker, brown, Leather, shoe, schirms, schirms shoes, schirmshoes","Easy wear durable sneakers for all casual outings","2","5","0"
"P-01012019-206","16","FullStrap Coffee Loafer","Classic shoe | Durable leather | Coffee","0","300","280","0","2812201800010","0","57","shoe, executive, officewear, classic shoes, schirms, schirmsshoes","Executive shoe for executive occasion, weddings and officewear","2","0","3"
"P-01042019-495","74","Little Black Dress","Sleeveless Dress, Cut-out back","0","70","80","5","2903201900047","0","111","Dress, Black, Dinner, Cocktail","Perfect for a date night or a night out with the girls. Every girl needs one of these in their wardrobe","2","1","0"
