"14","C|V","C240720170001|0902201900027"
"15","C|V","C240720170001|2912201800011"
"17","C|V","C240720170001|2812201800010"
"29","C|V","C240720170001|0511201800001"
"30","C|V","C240720170001|0601201900017"
"31","C|V","C061220180035|0902201900027"
"32","C|V","C071220180037|0902201900027"
"33","C|V","C061220180035|2612201800008"
"34","C|V","C071220180037|0511201800001"
"35","C|V","C250220190094|1811201800004"
"36","C|V","C240720170001|1601201900022"
"37","C|V","C071220180037|2912201800011"
"38","C|V","C110320190107|0902201900027"
"39","C|V","C240720170001|1903201900042"
"40","C|V","C240720170001|1903201900043"
"41","C|V","C050420190124|1301201900019"
"42","C|V","C240720170001|1811201800004"
"43","C|V","C170420190131|0504201900054"
"45","C|V","C071220180037|1005201900064"
"46","C|V","C160520190183|2912201800011"
"47","C|V","C061220180035|1811201800004"
"48","C|V","C061220180035|2603201900046"
"49","C|V","C070620190264|0304201900052"
"50","C|V","C080620190268|2903201900047"
"51","C|V","C160620190285|1402201900029"
"52","C|V","C311220180041|2106201900078"
"53","C|V","C260120190085|1704201900057"
"54","C|V","C070720190368|2206201900079"
"55","C|V","C190720190434|2812201800010"
"56","C|V","C240720190445|2702201900032"
"57","C|V","C050820190550|0503201900033"
"58","C|V","C090720190381|2105201900068"
